Purchase__basketValueGross,Purchase__purchaseType,Purchase__overallBasketSavings,Purchase__storeId,Purchase__paymentType__category,Purchase__paymentType__amount,Purchase__timeStamp,Purchase__basketValueNet,Purchase__says,Purchase__storeName,Purchase__storeFormat,Purchase__product__name,Purchase__product__quantity,Purchase__product__channel,Purchase__product__price
,,,,,,,,,,,Light & Free Skyr Raspberry Yogurt 150G,1,IN_STORE,1
,,,,,,,,,,,Batchelors Super Noodles Mild Curry 90G,1,IN_STORE,0.6
,,,,,,,,,,,Tesco Finest Oyster Mushroom Cluster 150G,1,IN_STORE,1.5
,,,,,,,,,,,Gu Salted Caramel Cheesecake 2X92g,1,IN_STORE,3
,,,,,,,,,,,Arla Skyr Nordic Sour Cherry 150G,1,IN_STORE,1
,,,,,,,,,,,Nongshim Instant Shin Cup Noodle Soup 68G,1,IN_STORE,0.95
,,,,,,,,,,,Tesco Wild Rocket 60G,1,IN_STORE,1
35.22,IN_STORE,6.48,3189,NA,28.74,53:37.7,28.74,NA,SOUTHWARK,SuperStore,Tesco Sweet Peppers 500G,1,IN_STORE,1.35
,,,,,,,,,,,Tesco 6 Mini Garlic & Coriander Naans,1,IN_STORE,0.89
,,,,,,,,,,,Tesco Prosciutto Crudo & Salami Platter 120G,1,IN_STORE,2.5
,,,,,,,,,,,Tesco Finest Oyster Mushroom Cluster 150G,2,IN_STORE,1.5
,,,,,,,,,,,Kettle Chips Sea Salt & Rosemary 150G,1,IN_STORE,1.99
,,,,,,,,,,,Tesco Folding Camping Chair Grey/Green,2,IN_STORE,8
,,,,,,,,,,,Kettle Chips Seaside Salt & Malt Vinegar 150G,1,IN_STORE,1.99
,,,,,,,,,,,The Ice Co. Ice Cubes 2Kg,1,IN_STORE,1
,,,,,,,,,,,Tesco 4 X Bags Instant Light Lumpwood Charcoal,1,IN_STORE,6.5
13.45,IN_STORE,NA,3189,NA,13.45,17:10.2,13.45,NA,SOUTHWARK,SuperStore,Tesco Honey Roast Salmon Flakes 80G,1,IN_STORE,2.25
,,,,,,,,,,,Tesco Bunched Spring Onions 100G,1,IN_STORE,0.37
,,,,,,,,,,,Tesco Nightingale Farm Peppers,1,IN_STORE,0.86
,,,,,,,,,,,Thai Dragon Sriracha Hot Chilli Sauce 455Ml,1,IN_STORE,1.99
,,,,,,,,,,,Birds Eye 2 Hot And Spicy Chicken 200G,1,IN_STORE,1.65
,,,,,,,,,,,Tesco Smoked Mackerel/Crushed Peppercorn,1,IN_STORE,2.83
,,,,,,,,,,,Arla Skyr Vanilla Yogurt 450G,1,IN_STORE,1.25
,,,,,,,,,,,Tesco Sweet Chilli Salmon Flakes 80G,1,IN_STORE,2.25
42.04,IN_STORE,NA,3720,NA,42.04,16:54.4,42.04,NA,SOUTHWARK PFS,Petrol,UNLEADED,1,IN_STORE,1.2
14.44,IN_STORE,2.46,3189,NA,11.98,59:19.1,11.98,NA,SOUTHWARK,SuperStore,Tesco Bunched Spring Onions 100G,1,IN_STORE,0.37
,,,,,,,,,,,Mccain Home Chips Straight Cut 1Kg,1,IN_STORE,2.29
,,,,,,,,,,,T.Kent Baby Plum Tomatoes 325G,1,IN_STORE,1
,,,,,,,,,,,Tesco Cucumber Whole Each,1,IN_STORE,0.43
,,,,,,,,,,,Tesco Clementine Or Sweet Easy Peeler Pack 600G,1,IN_STORE,1.35
,,,,,,,,,,,Arla Skyr Vanilla Yogurt 450G,1,IN_STORE,1.25
,,,,,,,,,,,Tesco Sussex Romaine Lettuce Hearts 2 Pack,1,IN_STORE,1
,,,,,,,,,,,Tesco Blueberries 150G,2,IN_STORE,2
,,,,,,,,,,,Total Greek Strained Yogurt 500G,1,IN_STORE,2.75
12.55,IN_STORE,0.61,3189,NA,11.94,29:12.4,11.94,NA,SOUTHWARK,SuperStore,Tesco Bunched Spring Onions 100G,1,IN_STORE,0.37
,,,,,,,,,,,Tesco E/Anglian Little Gem Lettuce 2 Pack,1,IN_STORE,0.85
,,,,,,,,,,,Tesco Salmon Fillets 240G,1,IN_STORE,3.25
,,,,,,,,,,,Oatly Oat Drink Semi 1 Litre,1,IN_STORE,1.8
,,,,,,,,,,,Tesco Salad Tomatoes 6 Pack,1,IN_STORE,0.75
,,,,,,,,,,,Schwartz Turmeric 37G,1,IN_STORE,1.6
,,,,,,,,,,,Tesco Organic Whole Cucumber Each,1,IN_STORE,1
,,,,,,,,,,,Califia Farms Xx Espresso Cold Brew Dairy Free Cof...,1,IN_STORE,2.5
,,,,,,,,,,,Tesco Radish Pack 240G,1,IN_STORE,0.43
35.28,IN_STORE,2.45,3189,NA,32.83,39:40.0,32.83,NA,SOUTHWARK,SuperStore,Korean Seaweed Snack 4G,1,IN_STORE,0.7
,,,,,,,,,,,Hoads Farm Free Range Eggs Large Box Of 6,1,IN_STORE,1.95
,,,,,,,,,,,Nivea Men Black & White Power Antiperspirant Deodo...,1,IN_STORE,0.99
,,,,,,,,,,,Tesco Bunched Spring Onions 100G,2,IN_STORE,0.37
,,,,,,,,,,,Tesco Sesame Breadsticks 125G,1,IN_STORE,0.84
,,,,,,,,,,,Gu 2 Apple & Salted Caramel Sponges 2X82g,1,IN_STORE,3
,,,,,,,,,,,Tesco Radish Pack 240G,1,IN_STORE,0.43
,,,,,,,,,,,Boursin Full Fat Soft Cheese Garlic Herb 150G,1,IN_STORE,2
,,,,,,,,,,,Tesco Greek Cheese Feta 200G,1,IN_STORE,1.2
,,,,,,,,,,,Wilkinson Sword Xtreme 3 Razor 4 Plus 2 Free,1,IN_STORE,3.5
,,,,,,,,,,,Arla Skyr Vanilla Yogurt 450G,1,IN_STORE,1.25
,,,,,,,,,,,Haribo Tangfastics 175G,1,IN_STORE,0.79
,,,,,,,,,,,Total Greek Strained Yogurt 500G,1,IN_STORE,2.75
,,,,,,,,,,,Koko Dairy Free Unsweetened Alternative Drink 1 Li...,1,IN_STORE,1.5
,,,,,,,,,,,Tesco 2 Beef Medallion Steaks 340G,1,IN_STORE,2.99
,,,,,,,,,,,Tesco E/Anglian Little Gem Lettuce 2 Pack,1,IN_STORE,0.85
,,,,,,,,,,,Tesco Finest King Oyster Mushrooms 150G,1,IN_STORE,1.6
,,,,,,,,,,,E.Wedel Milk Chocolate With Hazelnuts 100G,1,IN_STORE,1
,,,,,,,,,,,Menissez 2 Sourdough Baguettes 250G,1,IN_STORE,1
,,,,,,,,,,,St Agur Blue Veined Cheese 125G,1,IN_STORE,2.4
,,,,,,,,,,,Napolina Whole Wheat Spaghetti 500G,1,IN_STORE,1.28
,,,,,,,,,,,Princes Tuna Chunks In Brine 145G,1,IN_STORE,1.25
,,,,,,,,,,,Nightingale Farms Cherry Tomatoes 250G,1,IN_STORE,0.48
,,,,,,,,,,,Haribo Starmix 175G,1,IN_STORE,0.79
16,IN_STORE,NA,4270,NA,16,22:50.4,16,NA,DUNFERMLINE PFS,Petrol,UNLEADED,1,IN_STORE,1.23
34.29,IN_STORE,2.25,4425,NA,32.04,17:09.4,32.04,NA,DUNFERMLINE FRE STAON,SuperStore,Kleinkaroo 2 Ostrich Fillet Steaks 250G,1,IN_STORE,5.25
,,,,,,,,,,,Nescafe Dolce Gusto Almond Flat White Coffee Pods ...,1,IN_STORE,3.5
,,,,,,,,,,,Finest Echalion Shallots 400G,1,IN_STORE,1.2
,,,,,,,,,,,Bell's Puff Pastry 425G,1,IN_STORE,1.35
,,,,,,,,,,,Tesco Mozzarella 240G,1,IN_STORE,0.7
,,,,,,,,,,,Cadbury Fair Trade Giant Buttons 175G,1,IN_STORE,1
,,,,,,,,,,,Nescafe Dolce Gusto Starbucks Espresso Roast 12 Ca...,1,IN_STORE,4
,,,,,,,,,,,Highland Game Venison Grill Steaks 300G,1,IN_STORE,2.5
,,,,,,,,,,,Duncan's Family Recipe Oatcakes 200G,1,IN_STORE,1.05
,,,,,,,,,,,T.Kent Baby Plum Tomatoes 325G,1,IN_STORE,1
,,,,,,,,,,,Highland Game Venison Burgers 227G,1,IN_STORE,2.5
,,,,,,,,,,,Filippo Berio Organic Extra Virgin Olive Oil 500Ml,1,IN_STORE,5
,,,,,,,,,,,Scotty Brand Baby Potatoes 750G,1,IN_STORE,1
,,,,,,,,,,,Tesco Pre-Packed Leeks 500G,1,IN_STORE,0.99
,,,,,,,,,,,Tesco Chicken Thigh Fillets 650G,1,IN_STORE,3.25
35.01,IN_STORE,NA,3720,NA,35.01,37:45.2,35.01,NA,SOUTHWARK PFS,Petrol,UNLEADED,1,IN_STORE,1.2
36.54,IN_STORE,4.45,3189,NA,32.09,30:18.8,32.09,NA,SOUTHWARK,SuperStore,Tesco Mixed Sized Organic Eggs 6 Pack,1,IN_STORE,1.8
,,,,,,,,,,,Tesco Stonebaked Pepperoni Pizza 280G,1,IN_STORE,3.5
,,,,,,,,,,,Doritos Stax Sour Cream & Onion Tortilla Chips 170...,1,IN_STORE,2.5
,,,,,,,,,,,Highland Spring Sparkling Water 6 X 1L,4,IN_STORE,3
,,,,,,,,,,,Tesco Finest Salami Milano 70G,1,IN_STORE,2.35
,,,,,,,,,,,Doritos Stax Ultimate Cheese Tortilla Chips 170G,1,IN_STORE,2.5
,,,,,,,,,,,Domestos Original Bleach 2L,1,IN_STORE,2
,,,,,,,,,,,Warburtons Malted Grain & Seeds Bread 400G,1,IN_STORE,1.5
,,,,,,,,,,,President Grated Emmental 200G,1,IN_STORE,2.3
,,,,,,,,,,,Tesco Finest Prosciutto Cotto With Herbs 100G,1,IN_STORE,2.35
,,,,,,,,,,,Tesco Sweet & Crunchy Salad 250G,1,IN_STORE,0.79
,,,,,,,,,,,Tesco Garlic & Rosemary All Butter Flatbread 215G,1,IN_STORE,1.6
,,,,,,,,,,,Tesco Homestyle Straight Cut Oven Chips 950G,1,IN_STORE,1.35
21.92,IN_STORE,2.17,3189,NA,19.75,36:21.4,19.75,NA,SOUTHWARK,SuperStore,Tesco Finest Greek Yogurt 500G,1,IN_STORE,1.75
,,,,,,,,,,,Tesco Bunched Spring Onions 100G,1,IN_STORE,0.37
,,,,,,,,,,,Nivea Men Black & White Power Antiperspirant Deodo...,1,IN_STORE,1.6
,,,,,,,,,,,Tesco Ripe Bananas 5 Pack,1,IN_STORE,0.69
,,,,,,,,,,,Tesco 4 Baking Potatoes,1,IN_STORE,0.41
,,,,,,,,,,,Tesco Salad Tomatoes 6 Pack,1,IN_STORE,0.75
,,,,,,,,,,,Tesco Tzatziki 170G,2,IN_STORE,1.1
,,,,,,,,,,,Tesco Carrots 1Kg,1,IN_STORE,0.4
,,,,,,,,,,,Tesco Radish Pack 240G,1,IN_STORE,0.43
,,,,,,,,,,,Felix Crispies Salmon & Trout 45G,1,IN_STORE,0.89
,,,,,,,,,,,Doritos Stax Ultimate Cheese Tortilla Chips 170G,1,IN_STORE,2.5
,,,,,,,,,,,Tesco Pork Shoulder Steaks 700G,1,IN_STORE,3.5
,,,,,,,,,,,Cadbury Mini Eggs Bag 80G,3,IN_STORE,1
,,,,,,,,,,,Dreamies Cat Treats With Beef 60G,1,IN_STORE,1
,,,,,,,,,,,Tesco Orange Minimum 5 Pack,1,IN_STORE,1.5
,,,,,,,,,,,Tesco Cucumber Whole Each,1,IN_STORE,0.43
,,,,,,,,,,,Tesco Whole Milk 568Ml/1 Pint,1,IN_STORE,0.5
15.91,IN_STORE,2.17,3189,NA,13.74,31:36.7,13.74,NA,SOUTHWARK,SuperStore,Tesco Finest Ground Beef Mince 440G,1,IN_STORE,4
,,,,,,,,,,,Tesco 4 Baking Potatoes,1,IN_STORE,0.41
,,,,,,,,,,,Tesco Finest King Oyster Mushrooms 150G,1,IN_STORE,1.6
,,,,,,,,,,,S.Pellegrino Sparkling Water 6 X 1 Litre,1,IN_STORE,5.5
,,,,,,,,,,,Philadelphia Original Family Pack 340G,1,IN_STORE,3
,,,,,,,,,,,Happy Egg Co Medium Free Range Eggs 6 Pack,1,IN_STORE,1.4
4.95,IN_STORE,0.5,3189,NA,4.45,14:03.4,4.45,NA,SOUTHWARK,SuperStore,Tesco Bunched Spring Onions 100G,1,IN_STORE,0.37
,,,,,,,,,,,Nightingale Farms Baby Plum Tomatoes 250G,1,IN_STORE,0.65
,,,,,,,,,,,Tesco Finest Oyster Mushroom Cluster 150G,1,IN_STORE,1.5
,,,,,,,,,,,Tesco Radish Pack 240G,1,IN_STORE,0.43
,,,,,,,,,,,Birds Eye Field Fresh Petits Pois 545G,1,IN_STORE,2
10,IN_STORE,2,3189,NA,8,22:24.8,8,NA,SOUTHWARK,SuperStore,Tesco Glace Cherry Halves 200G,1,IN_STORE,1.5
,,,,,,,,,,,Tesco Organic Skimmed Milk 1.136L/2 Pints,1,IN_STORE,0.89
,,,,,,,,,,,Gu Lemon Cheesecake 2X90g,1,IN_STORE,3
,,,,,,,,,,,Tesco Cucumber Whole Each,1,IN_STORE,0.43
,,,,,,,,,,,Gu-Zillionaire Cheesecake 2X91.5G,1,IN_STORE,3
,,,,,,,,,,,Tesco Fresh Cut Flat Leaf Parsley 30G,1,IN_STORE,0.7
,,,,,,,,,,,Nightingale Farms Cherry Tomatoes 250G,1,IN_STORE,0.48
11.2,IN_STORE,NA,6070,NA,11.2,02:49.7,11.2,NA,BERMONDSEY PARK EXP,Express,San Miguel 660Ml,1,IN_STORE,1.85
,,,,,,,,,,,Kettle Chips Sea Salt & Balsamic Vinegar 150G,1,IN_STORE,1
,,,,,,,,,,,Jaffa Clementine Or Sweet Easy Peel Pack 600G (C),1,IN_STORE,2.3
,,,,,,,,,,,Gu-Zillionaire Cheesecake 2X91.5G,1,IN_STORE,2.3
,,,,,,,,,,,Tesco Smoked Rindless Back Bacon 300G,1,IN_STORE,1.75
,,,,,,,,,,,Tesco Edam 10 Slice 250G,1,IN_STORE,2
27.62,IN_STORE,3.34,3189,NA,24.28,32:41.5,24.28,NA,SOUTHWARK,SuperStore,Mccain Quick Cook French Fries 750G,1,IN_STORE,2.5
,,,,,,,,,,,Tesco Bunched Spring Onions 100G,1,IN_STORE,0.37
,,,,,,,,,,,Deli Kitchen 4 Greek Style Flatbreads 320G,2,IN_STORE,1.35
,,,,,,,,,,,Hoads Farm Free Range Eggs Large Box Of 6,1,IN_STORE,1.95
,,,,,,,,,,,Tesco Bananas Loose,1,IN_STORE,0.73
,,,,,,,,,,,Loose Red Onions Class 2,1,IN_STORE,1
,,,,,,,,,,,Tesco Salad Tomatoes 6 Pack,1,IN_STORE,0.75
,,,,,,,,,,,Tesco German Salami 135G,2,IN_STORE,1
,,,,,,,,,,,San Pellegrino Sparkling Water 1L,1,IN_STORE,1.35
,,,,,,,,,,,Tesco Aubergine Each,2,IN_STORE,0.77
,,,,,,,,,,,Warburtons White Bistro Brioche Bun 4 Pack,1,IN_STORE,1.4
,,,,,,,,,,,Tesco Garlic Flatbread 255G,1,IN_STORE,2
,,,,,,,,,,,Mcvities Dark Chocolate Digestive Twin 2X316g,1,IN_STORE,2.1
,,,,,,,,,,,President Grated Emmental 200G,1,IN_STORE,2.3
,,,,,,,,,,,Tesco Chicken Thigh Fillets 650G,1,IN_STORE,3.2
,,,,,,,,,,,Tesco Sussex Romaine Lettuce Hearts 2 Pack,1,IN_STORE,1
,,,,,,,,,,,Eastman's Cooked Ham 125G,1,IN_STORE,0.86
,,,,,,,,,,,Tesco Nightingale Farm Peppers,1,IN_STORE,0.79
17.4,IN_STORE,1.95,3189,NA,15.45,37:04.8,15.45,NA,SOUTHWARK,SuperStore,Tesco Smashed Avocado With Lime - 200G,1,IN_STORE,2
,,,,,,,,,,,Highland Spring Sparkling Water 6 X 1L,1,IN_STORE,3
,,,,,,,,,,,President Grated Emmental 200G,1,IN_STORE,2.3
,,,,,,,,,,,Jaffa Clementine Or Sweet Easy Peeler 600G,1,IN_STORE,2
,,,,,,,,,,,Tesco Finest Sweet Mini Peppers 220G,1,IN_STORE,1.5
,,,,,,,,,,,Tesco Clementine Or Sweet Easy Peeler Pack 600G,1,IN_STORE,1.35
,,,,,,,,,,,Tesco Garlic & Rosemary All Butter Flatbread 215G,1,IN_STORE,1.6
,,,,,,,,,,,Tesco Finest 14 Month Parma Ham 78G,1,IN_STORE,2.65
,,,,,,,,,,,Tesco German Salami 135G,1,IN_STORE,1
24.61,IN_STORE,0.85,3189,NA,23.76,42:17.6,23.76,NA,SOUTHWARK,SuperStore,Tesco Sliced Red Onion 180G,1,IN_STORE,0.75
,,,,,,,,,,,Sharwoods Real Oyster Sauce 150Ml,1,IN_STORE,2
,,,,,,,,,,,Deli Kitchen 4 Greek Style Flatbreads 320G,1,IN_STORE,1.35
,,,,,,,,,,,Big & Free Large White Free Range Eggs 10 Pack,1,IN_STORE,2
,,,,,,,,,,,Jaffa Clementine Or Sweet Easy Peeler 600G,1,IN_STORE,2
,,,,,,,,,,,Tesco Hand Shelled Peas 160G,1,IN_STORE,1.25
,,,,,,,,,,,Tesco Grated Parmigiano Reggiano 100G,1,IN_STORE,2.2
,,,,,,,,,,,Tesco Glace Cherry Halves 200G,1,IN_STORE,1.5
,,,,,,,,,,,The Big Prawn Co Big & Juicy Crayfish 120G,1,IN_STORE,3.9
,,,,,,,,,,,Tesco Cranberry & Raspberry Juice 1 Litre,1,IN_STORE,1.25
,,,,,,,,,,,Tesco Italian Mixed Peel 200G,1,IN_STORE,0.8
,,,,,,,,,,,Tesco Finest Dry Cure Bacon Lardons 180G,1,IN_STORE,2.5
,,,,,,,,,,,Warburtons Toastie Sliced White Bread 400G,1,IN_STORE,0.85
,,,,,,,,,,,Yutaka Soba Noodles 250G,1,IN_STORE,1.3
,,,,,,,,,,,Nightingale Farms Cherry Tomatoes 250G,2,IN_STORE,0.48
46.37,IN_STORE,7.07,3189,NA,39.3,07:17.2,39.3,NA,SOUTHWARK,SuperStore,Mccain Quick Cook French Fries 750G,1,IN_STORE,2.5
,,,,,,,,,,,Tesco Bunched Spring Onions 100G,1,IN_STORE,0.37
,,,,,,,,,,,Tesco Smoked Salmon Slices 180G,1,IN_STORE,5
,,,,,,,,,,,Nightingale Farms Baby Plum Tomatoes 250G,1,IN_STORE,0.65
,,,,,,,,,,,Highland Spring Sparkling Water 6 X 1L,1,IN_STORE,3
,,,,,,,,,,,Tesco Finest Mixed Baby Tomatoes 250G,1,IN_STORE,1.5
,,,,,,,,,,,La Doria Sweetcorn In Water 198G,1,IN_STORE,0.6
,,,,,,,,,,,Jaffa Clementine Or Sweet Easy Peeler 600G,1,IN_STORE,2
,,,,,,,,,,,Tesco 250G Plus 20% Extra Free,1,IN_STORE,3
,,,,,,,,,,,Gressingham Duck Fillets 250G,1,IN_STORE,4
,,,,,,,,,,,Tesco Twin Garlic Reduced Fat Baguettes 430G,1,IN_STORE,1.6
,,,,,,,,,,,Gressingham Duck Legs 462G,1,IN_STORE,4
,,,,,,,,,,,Gem Avocado Twin Pack Xl,2,IN_STORE,2.5
,,,,,,,,,,,De Cecco Spaghetti 500G,1,IN_STORE,1.55
,,,,,,,,,,,Itsu Miso'easy Traditional Miso 5X21g,1,IN_STORE,2
,,,,,,,,,,,Tesco Finest King Oyster Mushrooms 150G,1,IN_STORE,1.6
,,,,,,,,,,,President Unsalted Butter 250G,1,IN_STORE,2
,,,,,,,,,,,Tesco Nocellara Del Belice Olives 160G,2,IN_STORE,2.5
,,,,,,,,,,,Tesco Sussex Romaine Lettuce Hearts 2 Pack,1,IN_STORE,1
27.82,IN_STORE,5.2,3189,NA,22.62,21:42.4,22.62,NA,SOUTHWARK,SuperStore,Napolina Passata 500G,2,IN_STORE,0.6
,,,,,,,,,,,Tesco Bunched Spring Onions 100G,1,IN_STORE,0.37
,,,,,,,,,,,Gem Avocado Twin Pack Xl,2,IN_STORE,2.5
,,,,,,,,,,,Tesco Smoked Salmon Slices 180G,2,IN_STORE,5
,,,,,,,,,,,Nightingale Farms Baby Plum Tomatoes 250G,1,IN_STORE,0.65
,,,,,,,,,,,Tesco Finest Jumbo Cooked King Prawns 225G,1,IN_STORE,4.5
,,,,,,,,,,,Tesco E/Anglian Sweet Baby Romaine 2 Pack,1,IN_STORE,1
,,,,,,,,,,,Tesco Pure Sunflower Oil 1L,1,IN_STORE,1.1
,,,,,,,,,,,Gressingham Duck Fillets 250G,1,IN_STORE,4
10.15,IN_STORE,0.41,3189,NA,9.74,21:27.9,9.74,NA,SOUTHWARK,SuperStore,Tesco Sugar Snap Peas 150G,1,IN_STORE,1
,,,,,,,,,,,Tesco Turkey Drumstick 700-900G,1,IN_STORE,2.49
,,,,,,,,,,,Tesco Cucumber Whole Each,1,IN_STORE,0.43
,,,,,,,,,,,Cadbury Mini Eggs Carton 38.3G,1,IN_STORE,0.5
,,,,,,,,,,,Tesco Finest King Oyster Mushrooms 200G,1,IN_STORE,1.75
,,,,,,,,,,,Tesco Pork Shoulder Steaks 700G,1,IN_STORE,3.5
,,,,,,,,,,,Nightingale Farms Cherry Tomatoes 250G,1,IN_STORE,0.48
14.59,IN_STORE,5.69,3189,NA,8.9,57:32.7,8.9,NA,SOUTHWARK,SuperStore,Tesco Garlic Flatbread 255G,1,IN_STORE,2
,,,,,,,,,,,Tesco Smoked Salmon Slices 180G,1,IN_STORE,5
,,,,,,,,,,,Mcvitie's Dark Chocolate Digestives 433G,1,IN_STORE,1.89
,,,,,,,,,,,Tesco Clementine Or Sweet Easy Peeler Pack 600G,1,IN_STORE,1.35
,,,,,,,,,,,Tesco Oaty Rounds Biscuits 300G,1,IN_STORE,0.45
,,,,,,,,,,,Kraft Philadelphia Cheese 200 G Tub,2,IN_STORE,1.95
23.34,IN_STORE,6.39,3189,NA,16.95,50:31.1,16.95,NA,SOUTHWARK,SuperStore,Tesco Garlic Baguette 205G,1,IN_STORE,0.9
,,,,,,,,,,,Elmlea Double Cream Alternative 284Ml,1,IN_STORE,0.89
...truncated.,,,,,,,,,,,,,,
