word_freq_offer,word_freq_free,word_freq_win,word_freq_click,word_freq_money,label
0.8,0.9,0.7,0.6,0.85,1
0.1,0.0,0.0,0.1,0.0,0
0.7,0.8,0.6,0.7,0.9,1
0.0,0.1,0.0,0.0,0.0,0
0.6,0.7,0.8,0.6,0.75,1
0.05,0.0,0.0,0.05,0.0,0
0.9,0.85,0.95,0.8,0.9,1
0.2,0.1,0.1,0.2,0.1,0
0.75,0.8,0.7,0.9,0.85,1
0.1,0.05,0.0,0.1,0.05,0
0.65,0.7,0.6,0.8,0.7,1
0.0,0.0,0.05,0.0,0.0,0
0.8,0.9,0.75,0.85,0.9,1
0.15,0.1,0.05,0.1,0.1,0
0.7,0.8,0.9,0.7,0.85,1
0.05,0.0,0.0,0.05,0.0,0
0.85,0.9,0.8,0.9,0.95,1
0.1,0.05,0.0,0.1,0.0,0
0.6,0.75,0.7,0.8,0.8,1
0.0,0.0,0.0,0.05,0.0,0